iter	Logloss
0	0.6648478734
1	0.6378893259
2	0.611931269
3	0.5904153715
4	0.5697734519
5	0.5515064934
6	0.535928818
7	0.5246885189
8	0.512610285
9	0.5000215336
10	0.4885231902
11	0.4780426426
12	0.4687250867
13	0.4598309898
14	0.4522966793
15	0.4453489259
16	0.4385369339
17	0.432041942
18	0.4260559181
19	0.4211169253
20	0.4158312465
21	0.4111063258
22	0.4084433922
23	0.404760192
24	0.4004044621
25	0.3973838151
26	0.3938154537
27	0.3908299127
28	0.3883726852
29	0.3853244124
30	0.3805153008
31	0.3782766777
32	0.3756225701
33	0.3731184114
34	0.3711948891
35	0.3687432351
36	0.3662439958
37	0.3641233319
38	0.3626961237
39	0.360924431
40	0.3592720413
41	0.3579787395
42	0.3574463693
43	0.35580861
44	0.3544372752
45	0.3534339429
46	0.352018946
47	0.3504459976
48	0.3493226514
49	0.3487174477
50	0.3476020206
51	0.3471277299
52	0.3459146289
53	0.3449182488
54	0.3440120347
55	0.3424989903
56	0.3403678377
57	0.3396961165
58	0.3382152764
59	0.3371454604
60	0.3361916379
61	0.3346555129
62	0.3336138683
63	0.3321995215
64	0.3314031755
65	0.3310525068
66	0.3299125012
67	0.3286014889
68	0.3275682129
69	0.3269353255
70	0.3265273205
71	0.3256368954
72	0.3242070403
73	0.322909718
74	0.3219935734
75	0.3211511941
76	0.3202094128
77	0.3195423755
78	0.3187573557
79	0.3180000235
80	0.3179943632
81	0.3164015859
82	0.3158063852
83	0.3152173952
84	0.3145379245
85	0.3132235495
86	0.31266088
87	0.3118867499
88	0.3112494365
89	0.3109582124
90	0.3101720509
91	0.3087144173
92	0.3081444641
93	0.3071435183
94	0.3066677183
95	0.3063428645
96	0.305878462
97	0.3053575275
98	0.3046182578
99	0.3038715271
100	0.3032534797
101	0.3019703328
102	0.3011179656
103	0.3001484975
104	0.299532553
105	0.2993956054
106	0.298452748
107	0.297877729
108	0.2969634163
109	0.2964749778
110	0.295681803
111	0.2951450409
112	0.2944488447
113	0.2936924546
114	0.2922780129
115	0.2913513331
116	0.2907532298
117	0.290606779
118	0.2903076157
119	0.2894657303
120	0.2893152869
121	0.2887767389
122	0.2883413352
123	0.2881459847
124	0.2877061881
125	0.2869671978
126	0.2863030127
127	0.285872874
128	0.2852990057
129	0.2839834974
130	0.2838721772
131	0.2835008837
132	0.2832806249
133	0.2824427168
134	0.2816032928
135	0.2809906465
136	0.2807004215
137	0.2792592449
138	0.2786652164
139	0.2779242435
140	0.2774030417
141	0.2771789509
142	0.2769655359
143	0.27613035
144	0.2757314637
145	0.2756000054
146	0.2748771616
147	0.2745613716
148	0.2738911876
149	0.2734745987
150	0.2734283488
151	0.2729329885
152	0.2721404705
153	0.2718351851
154	0.2711657178
155	0.2708742225
156	0.270159607
157	0.269536237
158	0.2690880677
159	0.2688703974
160	0.2683174436
161	0.2679681789
162	0.2669583775
163	0.2659642443
164	0.2658224936
165	0.265434211
166	0.2648446595
167	0.2640359606
168	0.2637708949
169	0.2635955754
170	0.2632167011
171	0.2621336579
172	0.2620696534
173	0.2610554247
174	0.2610383733
175	0.2610224788
176	0.2604344929
177	0.2603303413
178	0.2598085187
179	0.2595415749
180	0.2590302933
181	0.2589294933
182	0.258892231
183	0.2585448834
184	0.2583123634
185	0.2580568826
186	0.2576902754
187	0.2568979072
188	0.2568280082
189	0.2561546074
190	0.2557302839
191	0.2554356242
192	0.2547796739
193	0.2547687905
194	0.2538724681
195	0.2534279268
196	0.2532574593
197	0.2532137865
198	0.2531766255
199	0.2526660045
200	0.2525406514
201	0.2520502363
202	0.2519796869
203	0.2519172136
204	0.2513778386
205	0.2511875
206	0.2510825388
207	0.2508431697
208	0.2505449577
209	0.2500319648
210	0.2499042673
211	0.2497380266
212	0.2493302378
213	0.2486267382
214	0.2482430502
215	0.2481355318
216	0.2479711309
217	0.2475215289
218	0.2467894094
219	0.2464264969
220	0.2463520105
221	0.2462247296
222	0.2460782227
223	0.2455864781
224	0.2453477487
225	0.2448800464
226	0.2445817804
227	0.2444485985
228	0.2443219225
229	0.2442353013
230	0.2440845797
231	0.2438836519
232	0.2438651066
233	0.2438418629
234	0.2426191244
235	0.2425281037
236	0.2420268892
237	0.2411088735
238	0.2409594092
239	0.2397126072
240	0.2394628958
241	0.2393099054
242	0.239161068
243	0.2380867297
244	0.2377041626
245	0.2375579269
246	0.2371448024
247	0.2363511644
248	0.2355576496
249	0.2342065507
250	0.2329338237
251	0.2328980105
252	0.2328689562
253	0.2327666608
254	0.2318484578
255	0.231306391
256	0.2311345542
257	0.2310654654
258	0.2302067355
259	0.2298714739
260	0.2298309522
261	0.2295611549
262	0.2295051798
263	0.2290284894
264	0.228686306
265	0.2285105821
266	0.2280410209
267	0.2278612925
268	0.2268493145
269	0.2266522505
270	0.2260849424
271	0.2253924914
272	0.2253737667
273	0.2253446965
274	0.2251411655
275	0.2249009159
276	0.2246479358
277	0.2244181401
278	0.2243964887
279	0.223984762
280	0.2231163353
281	0.2229631081
282	0.2229454856
283	0.2221428989
284	0.2212450637
285	0.2206815018
286	0.2206205373
287	0.2194947003
288	0.2189200425
289	0.2188900689
290	0.2182813432
291	0.2182599731
292	0.2180155325
293	0.217963496
294	0.2174711932
295	0.2174296849
296	0.21691024
297	0.2168116924
298	0.2166426847
299	0.2161115742
300	0.2150641022
301	0.2142349171
302	0.2141424349
303	0.2141223016
304	0.2136318089
305	0.2127007762
306	0.212460408
307	0.2124399696
308	0.211637833
309	0.2113501401
310	0.2113355917
311	0.2109176891
312	0.2106604928
313	0.2106474181
314	0.2096525898
315	0.2089515287
316	0.2088136848
317	0.2087126354
318	0.2082577131
319	0.2080427259
320	0.207862515
321	0.2074350282
322	0.2071179951
323	0.2067968635
324	0.2066584297
325	0.2059934648
326	0.2059641281
327	0.2052663488
328	0.2041428905
329	0.2036110624
330	0.2030466944
331	0.2029765315
332	0.2029045551
333	0.2023982153
334	0.2014143726
335	0.2012908008
336	0.2009252738
337	0.2005193877
338	0.2002028222
339	0.1999050012
340	0.1995142904
341	0.1994034623
342	0.1992254867
343	0.1991841804
344	0.1983126746
345	0.1982976266
346	0.1982738667
347	0.1982282295
348	0.1980855343
349	0.1979687604
350	0.1976798228
351	0.19713217
352	0.1970975007
353	0.1967315696
354	0.1966541079
355	0.1959537912
356	0.1958681693
357	0.1958130433
358	0.195710096
359	0.1950326228
360	0.1945693106
361	0.1939379309
362	0.1934586713
363	0.193366172
364	0.1930150854
365	0.1927098874
366	0.1923523392
367	0.1920020696
368	0.1915440781
369	0.1913414058
370	0.1910761082
371	0.1910618897
372	0.1906947086
373	0.1903640128
374	0.1897806729
375	0.1896941377
376	0.1890164357
377	0.1888408183
378	0.1880154166
379	0.1870839405
380	0.1868523737
381	0.1864082633
382	0.1861578517
